Nome,Endereço,Descrição,Imagem,Latitude,Longitude
La Brasserie,"Rua do Sol, 25 - São Francisco","O restaurante ""La Brasserie"" é um local sofisticado e elegante que serve pratos clássicos da cozinha francesa. Com um ambiente acolhedor e atendimento impecável, é uma excelente opção para uma noite especial.",static/img/restaurante_1.jpg,-3.1234447742612357,-60.054863812545
Steakhouse 21,"Rua Flores, 51 - Bom Jesus","O ""Steakhouse 21"" é um paraíso para os amantes de carne, com uma seleção impressionante de cortes de alta qualidade. Com um ambiente moderno e descontraído, é perfeito para um jantar casual entre amigos.",static/img/restaurante_2.jpg,-3.1262580976338565,-60.02633793293374
Sushimania,"Rua da Montanha, 31 - São José","O ""Sushimania"" é um dos melhores restaurantes japoneses da cidade, com uma seleção variada de sushi, sashimi e outros pratos típicos da culinária japonesa. Com um ambiente contemporâneo e elegante, é uma opção perfeita para um jantar romântico.",static/img/restaurante_3.jpg,-3.0789250264786268,-60.023012069296584
Bistro da Praça,"Rua da Lua, 88 - Cabula","O ""Bistro da Praça"" é um restaurante charmoso que oferece pratos da cozinha internacional com um toque brasileiro. Com um ambiente aconchegante e um cardápio criativo, é uma excelente opção para um almoço de negócios.",static/img/restaurante_4.jpg,-3.0958702930039874,-60.0715975592731
Cantinho do Mar,"Rua do Tesouro, 40 - Santa Rita","O ""Cantinho do Mar"" é um restaurante especializado em frutos do mar frescos, com um cardápio variado e uma atmosfera descontraída. Com vista para o mar, é um ótimo lugar para um jantar com amigos ou familiares.",static/img/restaurante_5.jpg,-3.067565989616364,-60.00897160792353
Bistrô da Vila,"Rua dos Ventos, 55 - Centro","O ""Bistrô da Vila"" é um restaurante que oferece pratos da culinária italiana com um toque contemporâneo. Com um ambiente agradável e um cardápio criativo, é uma excelente opção para um jantar romântico.",static/img/restaurante_6.jpg,-3.0751205687334586,-60.0624630205557
Boteco do Chico,"Rua do Desejo, 79 - Santa Rita","O ""Boteco do Chico"" é um bar e restaurante descontraído que serve pratos típicos da culinária brasileira, acompanhados de cerveja gelada e música ao vivo. Com um ambiente animado e descontraído, é uma ótima opção para um happy hour com amigos.",static/img/restaurante_7.jpg,-3.0902118457867553,-60.04738003614886
Casa da Sopa,"Rua das Árvores, 73 - São Sebastião","O ""Casa da Sopa"" é um restaurante acolhedor que oferece uma variedade de sopas caseiras, acompanhadas de pães frescos e saladas. Com um ambiente confortável e um cardápio saudável, é uma excelente opção para um almoço leve.",static/img/restaurante_8.jpg,-3.077825834747939,-60.04507115613282
The Grill,"Rua Flores, 30 - Cidade Nova","O ""The Grill"" é um restaurante sofisticado que oferece cortes de carne premium, preparados na grelha e acompanhados de molhos especiais. Com um ambiente elegante e um serviço impecável, é uma opção perfeita para um jantar especial.",static/img/restaurante_9.jpg,-3.1364810020611245,-60.05611563053832
Cantina Italiana,"Rua do Amor, 19 - Graça","O ""Cantina Italiana"" é um restaurante que serve pratos da culinária italiana tradicional, preparados com ingredientes frescos e de alta qualidade. Com um ambiente acolhedor e um cardápio variado, é uma excelente opção para um jantar em família.",static/img/restaurante_10.jpg,-3.103496834338062,-60.045722140626715
Café do Museu,"Rua da Fonte, 74 - São José","O ""Café do Museu"" é um café charmoso que oferece uma seleção de cafés especiais, chás, bolos e outras delícias. Com um ambiente agradável e uma decoração vintage, é uma excelente opção para um café da tarde.",static/img/restaurante_11.jpg,-3.0850405508139556,-60.01102692233342
Taj Mahal,"Rua do Lago, 55 - Centro","O ""Taj Mahal"" é um restaurante que oferece pratos típicos da culinária indiana, preparados com temperos e especiarias exóticas.Com um ambiente elegante e uma decoração que remete à Índia, é uma excelente opção para uma experiência gastronômica diferente.",static/img/restaurante_12.jpg,-3.1120657366807656,-60.050855748202146
Churrascaria do Sul,"Rua da Montanha, 31 - São José","O ""Churrascaria do Sul"" é um restaurante especializado em churrasco gaúcho, com uma seleção variada de cortes de carne e um rodízio com mais de 20 opções de pratos quentes e frios. Com um ambiente amplo e descontraído, é uma opção perfeita para um jantar com amigos ou familiares.",static/img/restaurante_13.jpg,-3.103469439698579,-60.03053320710698
Casa da Pizza,"Rua do Tesouro, 11 - Itapuã","O ""Casa da Pizza"" é um restaurante que oferece uma seleção variada de pizzas, acompanhadas de saladas e outros pratos italianos. Com um ambiente descontraído e um cardápio criativo, é uma excelente opção para um almoço casual entre amigos.",static/img/restaurante_14.jpg,-3.132941741207331,-60.05348623773797
Casa da Massa,"Rua do Lago, 6 - São Francisco","O ""Casa da Massa"" é um restaurante que oferece uma seleção variada de massas frescas, acompanhadas de molhos especiais e outros pratos italianos. Com um ambiente descontraído e um cardápio criativo, é uma excelente opção para um almoço casual entre amigos.",static/img/restaurante_15.jpg,-3.1095075907053094,-60.03069892211054
Casa da Carne,"Rua dos Prazeres, 17 - Vila Nova","O ""Casa da Carne"" é um restaurante especializado em carnes, com uma seleção variada de cortes de alta qualidade, preparados na grelha. Com um ambiente descontraído e um cardápio criativo, é uma excelente opção para um almoço casual entre amigos.",static/img/restaurante_16.jpg,-3.073407732830242,-60.018233353070904
Thai House,"Rua do Tesouro, 33 - Itapuã","O ""Thai House"" é um restaurante que serve pratos típicos da culinária tailandesa, preparados com ingredientes frescos e temperos exóticos. Com um ambiente acolhedor e uma decoração que remete à Tailândia, é uma excelente opção para uma experiência gastronômica diferente.",static/img/restaurante_17.jpg,-3.1051348074650487,-60.06308617111504
La Piazza,"Rua das Árvores, 55 - Jardim","O ""La Piazza"" é um restaurante que oferece pratos da culinária italiana, como massas frescas, pizzas e risotos, em um ambiente descontraído e acolhedor. Com um cardápio variado e uma seleção de vinhos de qualidade, é uma excelente opção para um jantar em família.",static/img/restaurante_18.jpg,-3.0571230792487016,-60.033554009075004
Brasileirinho,"Rua da Montanha, 31 - São José","O ""Brasileirinho"" é um restaurante que serve pratos típicos da culinária brasileira, como feijoada, churrasco e moqueca, em um ambiente descontraído e alegre. Com música ao vivo nos finais de semana, é uma ótima opção para um happy hour com amigos.",static/img/restaurante_19.jpg,-3.0935311108495545,-60.060735408534775
Sabor Peruano,"Rua da Fonte, 20 - Cabula","O ""Sabor Peruano"" é um restaurante que oferece pratos típicos da culinária peruana, como ceviche, lomo saltado e ají de gallina, em um ambiente acolhedor e autêntico. Com um cardápio criativo e uma decoração que remete ao Peru, é uma excelente opção para uma experiência gastronômica diferente.",static/img/restaurante_20.jpg,-3.069342335237495,-60.01825272754702
Jardim do Éden,"Rua do Lago, 84 - Vila Isabel","O ""Jardim do Éden"" é um restaurante vegetariano que oferece pratos saudáveis e saborosos, preparados com ingredientes frescos e orgânicos. Com um ambiente tranquilo e uma decoração rústica, é uma excelente opção para um almoço leve.",static/img/restaurante_21.jpg,-3.1018648845411207,-60.05151884473698
Fratelli,"Rua da Montanha, 87 - Graça","O ""Fratelli"" é um restaurante que serve pratos da culinária italiana em um ambiente sofisticado e elegante. Com um cardápio criativo e uma seleção de vinhos de qualidade, é uma opção perfeita para um jantar romântico.",static/img/restaurante_22.jpg,-3.1028572433327,-60.04181046612765
Gaucho's,"Rua do Tesouro, 45 - Graça","O ""Gaucho's"" é um restaurante que oferece churrasco gaúcho em um ambiente amplo e descontraído, com música ao vivo nos finais de semana. Com uma seleção variada de cortes de carne e um rodízio de pratos quentes e frios, é uma ótima opção para um jantar com amigos ou familiares.",static/img/restaurante_23.jpg,-3.1105024930063676,-60.000001701457386
Soul Kitchen,"Rua dos Ventos, 73 - Cidade Nova","O ""Soul Kitchen"" é um restaurante que oferece pratos saudáveis e saborosos, preparados com ingredientes orgânicos e de alta qualidade. Com um ambiente descontraído e uma decoração que remete à natureza, é uma excelente opção para um almoço leve.",static/img/restaurante_24.jpg,-3.083595218647248,-60.0673451024434
Sushiloko,"Rua das Árvores, 73 - São Sebastião","O ""Sushiloko"" é um restaurante que oferece pratos típicos da culinária japonesa, como sushis, sashimis e temakis, em um ambiente moderno e descontraído. Com um rodízio com mais de 30 opções de pratos, é uma ótima opção para um jantar com amigos.",static/img/restaurante_25.jpg,-3.1221169981735493,-60.029545766420775
Churrascaria Brasa Viva,"Rua da Esperança, 6 - Itaigara","O ""Churrascaria Brasa Viva"" é um restaurante que oferece churrasco gaúcho em um ambiente rústico e aconchegante. Com uma seleção variada de cortes de carne e um rodízio com mais de 20 opções de pratos quentes e frios, é uma excelente opção para um jantar em família.",static/img/restaurante_26.jpg,-3.1261422851668956,-60.07065856372854
Kebab House,"Rua da Fonte, 20 - Cabula","O ""Kebab House"" é um restaurante que serve pratos típicos da culinária árabe, como kebab, falafel e homus, em um ambiente descontraído e acolhedor. Com um cardápio criativo e uma decoração que remete ao Oriente Médio, é uma ótima opção para um jantar com amigos.",static/img/restaurante_27.jpg,-3.080965664955574,-60.01200165766553
Graça da Vila,"Rua da Lua, 25 - Pelourinho","O ""Graça da Vila"" é um restaurante que serve pratos da culinária portuguesa, como bacalhau, caldo verde e arroz de pato, em um ambiente rústico e aconchegante. Com um cardápio variado e uma seleção de vinhos de qualidade, é uma excelente opção para um jantar em família.",static/img/restaurante_28.jpg,-3.076169052520914,-60.06159039630921
Taco Loco,"Rua das Maravilhas, 93 - Rio Vermelho","O ""Taco Loco"" é um restaurante que oferece pratos típicos da culinária mexicana, como tacos, burritos e guacamole, em um ambiente descontraído e animado. Com uma seleção de drinks criativos e uma decoração colorida, é uma ótima opção para um happy hour com amigos.",static/img/restaurante_29.jpg,-3.096361169334892,-60.071259102894295
Casa de Samba,"Rua das Árvores, 69 - Itaigara","O ""Casa de Samba"" é um restaurante que serve pratos típicos da culinária brasileira em um ambiente animado e descontraído, com música ao vivo de samba e pagode. Com uma seleção de drinks e petiscos, é uma excelente opção para uma noite de diversão com amigos.",static/img/restaurante_30.jpg,-3.1155944833659666,-60.0694898179964
Marisqueira do Pedro,"Rua da Montanha, 31 - São José","O ""Marisqueira do Pedro"" é um restaurante que serve pratos de frutos do mar frescos em um ambiente descontraído e acolhedor. Com uma seleção de vinhos e cervejas, é uma ótima opção para um jantar romântico ou uma refeição em família.",static/img/restaurante_31.jpg,-3.056980685121642,-60.03602737338592
Bistrô do Chef,"Rua do Campo, 44 - Bom Jesus","O ""Bistrô do Chef"" é um restaurante que oferece pratos sofisticados e criativos em um ambiente elegante e refinado. Com uma seleção de vinhos de qualidade e uma decoração moderna, é uma excelente opção para um jantar especial ou uma celebração.",static/img/restaurante_32.jpg,-3.1053703758207942,-60.009484622090795
Cantinho da Amizade,"Rua do Desejo, 58 - São Francisco","O ""Cantinho da Amizade"" é um restaurante que serve pratos típicos da culinária portuguesa, como a açorda de camarão e o frango à cafreal, em um ambiente rústico e acolhedor. Com uma seleção de vinhos portugueses e uma decoração que remete às aldeias do país, é uma excelente opção para um jantar em família.",static/img/restaurante_33.jpg,-3.135955288535614,-60.00875622895502
Diner Americano,"Rua das Árvores, 42 - Itapuã","O ""Diner Americano"" é um restaurante que oferece pratos típicos da culinária americana, como hambúrgueres e hot dogs, em um ambiente descontraído e nostálgico. Com uma seleção de milkshakes e sobremesas típicas, é uma ótima opção para um almoço com amigos ou uma refeição em família.",static/img/restaurante_34.jpg,-3.1236727772792254,-60.002660527772804
La Dolce Vita,"Rua do Tesouro, 11 - Itapuã","O ""La Dolce Vita"" é um restaurante que serve pratos típicos da culinária italiana, como risotos e massas frescas, em um ambiente elegante e sofisticado. Com uma seleção de vinhos italianos e uma decoração inspirada na Toscana, é uma excelente opção para um jantar especial ou uma celebração.",static/img/restaurante_35.jpg,-3.0944644205876433,-60.0382759233077
La Parrilla,"Rua das Maravilhas, 7 - São Sebastião","O ""La Parrilla"" é um restaurante que oferece churrasco argentino em um ambiente descontraído e acolhedor. Com uma seleção de cortes nobres de carne e um rodízio com mais de 20 opções de pratos quentes e frios, é uma ótima opção para um jantar com amigos ou uma refeição em família.",static/img/restaurante_36.jpg,-3.087088901602898,-60.035546713881054
Le Bistrô,"Rua das Árvores, 42 - Itapuã","O ""Le Bistrô"" é um restaurante francês que serve pratos sofisticados e criativos em um ambiente elegante e refinado. Com uma seleção de vinhos franceses e uma decoração inspirada em Paris, é uma excelente opção para um jantar especial ou uma celebração.",static/img/restaurante_37.jpg,-3.1289803365910784,-60.06927410052403
Casa do Lombo,"Rua das Estrelas, 46 - Cabula","O ""Casa do Lombo"" é um restaurante que serve pratos típicos da culinária portuguesa, como o famoso lombo de porco assado, em um ambiente rústico e acolhedor. Com uma seleção de vinhos portugueses e uma decoração que remete às casas de campo do país, é uma ótima opção para um jantar em família.",static/img/restaurante_38.jpg,-3.115659554975086,-60.04229831638835
Taste of India,"Rua do Tesouro, 33 - Itapuã","O ""Taste of India"" é um restaurante que serve pratos típicos da culinária indiana, como o curry de cordeiro e o biryani, em um ambiente descontraído e aconchegante. Com uma seleção de chás indianos e uma decoração que remete às cores e texturas da Índia, é uma ótima opção para um jantar com amigos.",static/img/restaurante_39.jpg,-3.1319227047702034,-60.02045312253617
Sabor de México,"Rua das Árvores, 42 - Itapuã","O ""Sabor de México"" é um restaurante que oferece pratos típicos da culinária mexicana, como tacos e burritos, em um ambiente descontraído e colorido. Com uma seleção de tequilas e uma decoração que remete às festas mexicanas, é uma ótima opção para um jantar animado com amigos.",static/img/restaurante_40.jpg,-3.087134159136892,-60.023469352238585
Oriental Palace,"Rua do Tesouro, 33 - Itapuã","O ""Oriental Palace"" é um restaurante que serve pratos típicos da culinária asiática, como o padang e o pho, em um ambiente moderno e sofisticado. Com uma seleção de vinhos asiáticos e uma decoração que remete aos palácios orientais, é uma excelente opção para um jantar especial ou uma celebração.",static/img/restaurante_41.jpg,-3.1062690319837185,-60.066741934581145
La Cucina,"Rua do Tesouro, 97 - Pelourinho","O ""La Cucina"" é um restaurante italiano que serve pratos típicos da culinária do sul da Itália, como o gnocchi alla sorrentina e a parmigiana, em um ambiente aconchegante e informal. Com uma seleção de vinhos italianos e uma decoração que remete às casas de campo da região, é uma ótima opção para um jantar descontraído com amigos.",static/img/restaurante_42.jpg,-3.112308674942692,-59.99772980470271
Bar do Peixe,"Rua do Tesouro, 45 - Graça","O ""Bar do Peixe"" é um restaurante que serve pratos típicos da culinária litorânea, como moquecas e peixadas, em um ambiente descontraído e informal. Com uma seleção de cervejas artesanais e uma decoração que remete à praia, é uma ótima opção para um almoço em família ou uma refeição com amigos.",static/img/restaurante_43.jpg,-3.097406983309578,-60.05086682397675
Hummus House,"Rua do Lago, 26 - Barra","O ""Hummus House"" é um restaurante que oferece pratos típicos da culinária árabe, como o hummus e o falafel, em um ambiente aconchegante e descontraído. Com uma seleção de chás árabes e uma decoração que remete às casas de chá do Oriente Médio, é uma ótima opção para um jantar com amigos.",static/img/restaurante_44.jpg,-3.124232300618242,-60.05261628473077
Brasa Churrascaria,"Rua da Esperança, 43 - Barra","O ""Brasa Churrascaria"" é um restaurante que oferece churrasco brasileiro em um ambiente descontraído e acolhedor. Com uma seleção de cortes nobres de carne e um buffet com mais de 20 opções de acompanhamentos, é uma ótima opção para um almoço ou jantar em família.",static/img/restaurante_45.jpg,-3.0756865947397674,-60.026383221920916
Green Kitchen,"Rua do Paraíso, 47 - Barra","O ""Green Kitchen"" é um restaurante que serve pratos vegetarianos e veganos em um ambiente moderno e descontraído. Com uma seleção de sucos e smoothies naturais e uma decoração que remete à natureza, é uma ótima opção para quem busca opções saudáveis e sustentáveis.",static/img/restaurante_46.jpg,-3.098705630294246,-60.02871448640855
